date,USDSGD,USDCNY,USDEUR,USDGBP,USDCHF,USDJPY,USDGOLD
03/11/2016 00:00,1.384,6.766,0.9,0.802,0.974,102.95,1299.8
04/11/2016 00:00,1.383,6.756,0.898,0.799,0.968,103.105,1303.3
07/11/2016 00:00,1.389,6.776,0.905,0.806,0.974,104.52,1278.3
08/11/2016 00:00,1.388,6.788,0.908,0.808,0.979,105.17,1273.3
09/11/2016 00:00,1.399,6.779,0.916,0.805,0.984,105.645,1272.1
10/11/2016 00:00,1.412,6.803,0.919,0.798,0.987,106.67,1264.9
11/11/2016 00:00,1.413,6.816,0.921,0.794,0.988,106.675,1222.5
14/11/2016 00:00,1.415,6.847,0.931,0.8,0.997,108.265,1221.2
15/11/2016 00:00,1.414,6.86,0.933,0.803,1.002,109.05,1225.5
16/11/2016 00:00,1.414,6.792,0.934,0.804,1.002,108.885,1224.4
17/11/2016 00:00,1.422,6.878,0.941,0.805,1.007,110.205,1213.5
18/11/2016 00:00,1.426,6.888,0.944,0.809,1.01,110.915,1207.8
21/11/2016 00:00,1.423,6.898,0.94,0.8,1.008,110.74,1209.4
22/11/2016 00:00,1.424,6.889,0.941,0.805,1.011,111.125,1207.7
23/11/2016 00:00,1.432,6.92,0.948,0.804,1.017,112.42,1213.8
24/11/2016 00:00,1.432,6.914,0.947,0.803,1.017,113.275,1182.0
25/11/2016 00:00,1.428,6.916,0.944,0.801,1.015,113.19,1178.9
28/11/2016 00:00,1.424,6.897,0.942,0.805,1.013,111.86,1190.6
29/11/2016 00:00,1.425,6.898,0.939,0.8,1.012,112.505,1187.5
30/11/2016 00:00,1.434,6.886,0.944,0.799,1.017,114.35,1173.3
01/12/2016 00:00,1.426,6.887,0.938,0.794,1.011,114.12,1167.2
02/12/2016 00:00,1.42,6.863,0.938,0.785,1.01,113.53,1175.1
05/12/2016 00:00,1.419,7.481,0.929,0.785,1.006,113.86,1174.0
06/12/2016 00:00,1.421,6.882,0.933,0.789,1.01,114.065,1167.6
07/12/2016 00:00,1.417,6.879,0.93,0.792,1.007,113.625,1175.0
08/12/2016 00:00,1.424,6.887,0.942,0.795,1.017,114.12,1169.8
09/12/2016 00:00,1.431,6.907,0.947,0.795,1.017,115.33,1159.4
12/12/2016 00:00,1.423,6.906,0.94,0.788,1.014,114.779,1163.5
13/12/2016 00:00,1.425,6.902,0.941,0.79,1.012,115.205,1156.7
14/12/2016 00:00,1.438,6.905,0.949,0.797,1.02,117.104,1162.9
15/12/2016 00:00,1.443,6.938,0.96,0.805,1.03,118.224,1127.8
16/12/2016 00:00,1.444,6.959,0.957,0.801,1.027,117.89,1137.9
19/12/2016 00:00,1.449,6.954,0.962,0.807,1.027,117.097,1140.5
20/12/2016 00:00,1.445,6.951,0.962,0.808,1.029,117.853,1131.7
21/12/2016 00:00,1.445,6.942,0.959,0.81,1.027,117.479,1130.0
22/12/2016 00:00,1.451,6.95,0.958,0.814,1.026,117.555,1130.6
23/12/2016 00:00,1.447,6.946,0.959,0.814,1.027,117.265,1131.9
27/12/2016 00:00,1.45,6.953,0.956,0.815,1.028,117.47,1137.4
28/12/2016 00:00,1.45,6.959,0.96,0.818,1.028,116.98,1139.4
29/12/2016 00:00,1.448,6.956,0.953,0.815,1.022,116.555,1156.4
30/12/2016 00:00,1.447,6.945,0.951,0.81,1.018,117.005,1151.4
02/01/2017 00:00,1.45,6.945,0.955,0.814,1.024,117.385,1110.0
03/01/2017 00:00,1.45,6.961,0.961,0.817,1.027,117.675,1160.8
04/01/2017 00:00,1.439,6.935,0.953,0.812,1.021,117.262,1163.5
05/01/2017 00:00,1.429,6.889,0.943,0.805,1.01,115.449,1181.1
06/01/2017 00:00,1.439,6.919,0.949,0.814,1.018,116.98,1173.0
09/01/2017 00:00,1.435,6.938,0.945,0.822,1.014,115.812,1183.5
10/01/2017 00:00,1.436,6.922,0.947,0.821,1.017,115.769,1188.9
